2026-08-07 19:16:45 UTC | FAIL | bore.pub:20445 | Client chưa vào được server do lỗi TCP. Nguyên nhân: kết nối mạng thất bại trước khi gửi y
2026-08-07 20:06:59 UTC | FAIL | bore.pub:20445 | Client chưa vào được server do lỗi TCP. Cần kiểm tra kết nối mạng, firewall hoặc port 2044
2026-08-07 20:59:52 UTC | FAIL | bore.pub:20445 | Client chưa vào được server do lỗi TCP. Nguyên nhân: kết nối mạng thất bại trước khi gửi y
2026-08-07 21:50:39 UTC | FAIL | bore.pub:20445 | Client chưa vào được server do lỗi TCP. Nguyên nhân: kết nối mạng thất bại (firewall, IP/p
2026-08-07 22:39:07 UTC | FAIL | bore.pub:20445 | Client chưa vào được server do lỗi TCP. Cần kiểm tra kết nối mạng, firewall hoặc port 2044
2026-08-07 23:18:50 UTC | FAIL | bore.pub:20445 | Client chưa vào được server do lỗi TCP. Cần kiểm tra firewall, port 20445 và trạng thái dị
2026-08-08 00:00:10 UTC | FAIL | bore.pub:20445 | Client chưa vào được server do lỗi TCP. Nguyên nhân có thể là server đang tắt, firewall ch
2026-08-08 02:12:34 UTC | FAIL | bore.pub:20445 | Client chưa vào được server do lỗi TCP. Nguyên nhân: kết nối mạng thất bại trước khi gửi D
2026-08-08 03:45:44 UTC | FAIL | bore.pub:20445 | Client chưa vào được server do lỗi TCP. DNS và JAR OK. Cần kiểm tra firewall, cổng 20445 h
2026-08-08 04:59:52 UTC | FAIL | bore.pub:20445 | Client chưa vào được server do lỗi TCP. Nguyên nhân: kết nối mạng thất bại trước khi gửi y
2026-08-08 05:51:11 UTC | FAIL | bore.pub:20445 | Client chưa vào được server do lỗi TCP (nối thất bại). Nguyên nhân có thể do firewall chặn
2026-08-08 06:58:17 UTC | FAIL | bore.pub:20445 | Client chưa vào được server do lỗi TCP. Nguyên nhân: kết nối mạng thất bại trước khi gửi y
2026-08-08 07:54:23 UTC | FAIL | bore.pub:20445 | 
2026-08-08 08:45:33 UTC | FAIL | bore.pub:20445 | 
2026-08-08 09:23:29 UTC | FAIL | bore.pub:20445 | 
2026-08-08 10:03:39 UTC | FAIL | bore.pub:20445 | 
2026-08-08 10:52:08 UTC | FAIL | bore.pub:20445 | 
2026-08-08 11:31:30 UTC | FAIL | bore.pub:20445 | 
2026-08-08 12:03:12 UTC | FAIL | bore.pub:20445 | 
2026-08-08 13:13:12 UTC | FAIL | bore.pub:20445 | 
2026-08-08 13:59:34 UTC | FAIL | bore.pub:20445 | 
2026-08-08 14:41:45 UTC | FAIL | bore.pub:20445 | 
2026-08-08 15:11:55 UTC | FAIL | bore.pub:20445 | 
2026-08-08 15:48:11 UTC | FAIL | bore.pub:20445 | 
2026-08-08 16:37:16 UTC | FAIL | bore.pub:20445 | 
2026-08-08 17:13:14 UTC | FAIL | bore.pub:20445 | 
2026-08-08 17:48:47 UTC | FAIL | bore.pub:20445 | 
2026-08-08 18:41:11 UTC | FAIL | bore.pub:20445 | 
2026-08-08 19:17:33 UTC | FAIL | bore.pub:20445 | 
2026-08-08 19:54:56 UTC | FAIL | bore.pub:20445 | 
2026-08-08 20:33:07 UTC | FAIL | bore.pub:20445 | 
2026-08-08 21:10:57 UTC | FAIL | bore.pub:20445 | 
2026-08-08 21:47:18 UTC | FAIL | bore.pub:20445 | 
2026-08-08 22:32:29 UTC | FAIL | bore.pub:20445 | 
2026-08-08 23:05:15 UTC | FAIL | bore.pub:20445 | 
2026-08-08 23:45:32 UTC | FAIL | bore.pub:20445 | 
2026-08-09 01:56:18 UTC | FAIL | bore.pub:20445 | 
2026-08-09 03:47:13 UTC | FAIL | bore.pub:20445 | 
2026-08-09 05:08:14 UTC | FAIL | bore.pub:20445 | 
2026-08-09 05:59:01 UTC | FAIL | bore.pub:20445 | AI err:The read operation timed out
2026-08-09 07:09:24 UTC | FAIL | bore.pub:20445 | AI err:The read operation timed out
2026-08-09 08:02:36 UTC | FAIL | bore.pub:20445 | **Phân tích:**

-
2026-08-09 09:03:31 UTC | FAIL | bore.pub:20445 | 
2026-08-09 09:57:42 UTC | FAIL | bore.pub:20445 | 
2026-08-09 10:43:17 UTC | FAIL | bore.pub:20445 | 
2026-08-09 11:14:32 UTC | FAIL | bore.pub:20445 | 
2026-08-09 11:49:18 UTC | FAIL | bore.pub:20445 | 
2026-08-09 12:56:25 UTC | FAIL | bore.pub:20445 | 
2026-08-09 13:53:04 UTC | FAIL | bore.pub:20445 | 
2026-08-09 14:37:17 UTC | FAIL | bore.pub:20445 | 
2026-08-09 15:13:46 UTC | FAIL | bore.pub:20445 | 
2026-08-09 15:50:43 UTC | FAIL | bore.pub:20445 | 
2026-08-09 16:38:53 UTC | FAIL | bore.pub:20445 | 
2026-08-09 17:15:34 UTC | FAIL | bore.pub:20445 | 
2026-08-09 17:59:48 UTC | FAIL | bore.pub:20445 | 
2026-08-09 18:54:38 UTC | FAIL | bore.pub:20445 | 
2026-08-09 19:35:57 UTC | FAIL | bore.pub:20445 | 
2026-08-09 20:05:10 UTC | FAIL | bore.pub:20445 | 
2026-08-09 20:52:11 UTC | FAIL | bore.pub:20445 | 
2026-08-09 21:35:16 UTC | FAIL | bore.pub:20445 | 
2026-08-09 22:05:03 UTC | FAIL | bore.pub:20445 | 
2026-08-09 22:51:07 UTC | FAIL | bore.pub:20445 | 
2026-08-09 23:33:51 UTC | FAIL | bore.pub:20445 | 
2026-08-10 00:35:37 UTC | FAIL | bore.pub:20445 | **Phân tích:**
2026-08-10 03:00:06 UTC | FAIL | bore.pub:20445 | 
2026-08-10 04:47:37 UTC | FAIL | bore.pub:20445 | 
2026-08-10 06:11:37 UTC | FAIL | bore.pub:20445 | 
2026-08-10 08:06:06 UTC | FAIL | bore.pub:20445 | 
2026-08-10 09:48:57 UTC | FAIL | bore.pub:20445 | 
2026-08-10 11:11:18 UTC | FAIL | bore.pub:20445 | 
2026-08-10 12:00:29 UTC | FAIL | bore.pub:20445 | 
2026-08-10 13:36:42 UTC | FAIL | bore.pub:20445 | 
2026-08-10 14:44:48 UTC | FAIL | bore.pub:20445 | 
2026-08-10 15:44:40 UTC | FAIL | bore.pub:20445 | 
2026-08-10 16:37:09 UTC | FAIL | bore.pub:20445 | 
2026-08-10 17:38:32 UTC | FAIL | bore.pub:20445 | 
2026-08-10 18:35:30 UTC | FAIL | bore.pub:20445 | 
2026-08-10 19:43:09 UTC | FAIL | bore.pub:20445 | 
2026-08-10 20:25:34 UTC | FAIL | bore.pub:20445 | **Client KHÔNG vào được server.** Lỗi ở **
2026-08-10 21:20:29 UTC | FAIL | bore.pub:20445 | 
2026-08-10 22:07:48 UTC | FAIL | bore.pub:20445 | 
2026-08-10 22:57:23 UTC | FAIL | bore.pub:20445 | 
2026-08-10 23:42:46 UTC | FAIL | bore.pub:20445 | 
2026-08-11 00:36:11 UTC | FAIL | bore.pub:20445 | 
2026-08-11 02:53:37 UTC | FAIL | bore.pub:20445 | 
2026-08-11 04:22:00 UTC | FAIL | bore.pub:20445 | 
2026-08-11 05:35:47 UTC | FAIL | bore.pub:20445 | 
2026-08-11 06:37:50 UTC | FAIL | bore.pub:20445 | 
2026-08-11 07:57:29 UTC | FAIL | bore.pub:20445 | 
2026-08-11 09:08:28 UTC | FAIL | bore.pub:20445 | 
2026-08-11 10:11:58 UTC | FAIL | bore.pub:20445 | 
2026-08-11 11:07:21 UTC | FAIL | bore.pub:20445 | 
2026-08-11 11:58:06 UTC | FAIL | bore.pub:20445 | **Phân tích:**

-
2026-08-11 13:23:43 UTC | FAIL | bore.pub:20445 | 
2026-08-11 14:36:59 UTC | FAIL | bore.pub:20445 | 
2026-08-11 15:40:45 UTC | FAIL | bore.pub:20445 | 
2026-08-11 16:38:17 UTC | FAIL | bore.pub:20445 | 
2026-08-11 17:42:30 UTC | FAIL | bore.pub:20445 | 
2026-08-11 18:38:43 UTC | FAIL | bore.pub:20445 | 
2026-08-11 19:47:41 UTC | FAIL | bore.pub:20445 | 
2026-08-11 20:49:25 UTC | FAIL | bore.pub:20445 | 
2026-08-11 21:51:58 UTC | FAIL | bore.pub:20445 | 
2026-08-11 22:46:17 UTC | FAIL | bore.pub:20445 | **Phân tích:**

- **DNS OK** → Tên miền resolve đúng.
- **JAR OK** → File jar tải về thành
2026-08-11 23:43:08 UTC | FAIL | bore.pub:20445 | 
2026-08-12 00:44:03 UTC | FAIL | bore.pub:20445 | 
2026-08-12 03:14:14 UTC | FAIL | bore.pub:20445 | 
2026-08-12 05:08:54 UTC | FAIL | bore.pub:20445 | 
2026-08-12 06:43:34 UTC | FAIL | bore.pub:20445 | 
2026-08-12 08:05:36 UTC | FAIL | bore.pub:20445 | 
2026-08-12 09:32:26 UTC | FAIL | bore.pub:20445 | 
2026-08-12 10:43:24 UTC | FAIL | bore.pub:20445 | 
2026-08-12 11:33:31 UTC | FAIL | bore.pub:20445 | 
2026-08-12 12:33:00 UTC | FAIL | bore.pub:20445 | 
2026-08-12 14:07:06 UTC | FAIL | bore.pub:20445 | 
2026-08-12 15:15:07 UTC | FAIL | bore.pub:20445 | 
2026-08-12 16:13:13 UTC | FAIL | bore.pub:20445 | 
2026-08-12 17:15:59 UTC | FAIL | bore.pub:20445 | **
2026-08-12 18:27:07 UTC | FAIL | bore.pub:20445 | 
2026-08-12 19:40:14 UTC | FAIL | bore.pub:20445 | 
2026-08-12 20:23:55 UTC | FAIL | bore.pub:20445 | 
2026-08-12 21:21:04 UTC | FAIL | bore.pub:20445 | 
2026-08-12 22:11:58 UTC | FAIL | bore.pub:20445 | 
2026-08-12 23:04:14 UTC | FAIL | bore.pub:20445 | 
2026-08-12 23:59:15 UTC | FAIL | bore.pub:20445 | 
2026-08-13 02:39:05 UTC | FAIL | bore.pub:20445 | AI err:The read operation timed out
2026-08-13 04:31:04 UTC | FAIL | bore.pub:20445 | 
2026-08-13 06:06:45 UTC | FAIL | bore.pub:20445 | 
2026-08-13 07:54:14 UTC | FAIL | bore.pub:20445 | **Phân tích:**

Client **không vào được server**. Lỗi ở **TCP connect** — DNS resolve OK n
2026-08-13 09:15:41 UTC | FAIL | bore.pub:20445 | 
2026-08-13 10:37:46 UTC | FAIL | bore.pub:20445 | 
2026-08-13 11:30:26 UTC | FAIL | bore.pub:20445 | 
2026-08-13 12:28:40 UTC | FAIL | bore.pub:20445 | 
2026-08-13 14:02:17 UTC | FAIL | bore.pub:20445 | 
2026-08-13 15:16:04 UTC | FAIL | bore.pub:20445 | 
2026-08-13 16:25:49 UTC | FAIL | bore.pub:20445 | 
2026-08-13 17:30:04 UTC | FAIL | bore.pub:20445 | 
2026-08-13 18:30:51 UTC | FAIL | bore.pub:20445 | 
2026-08-13 19:45:05 UTC | FAIL | bore.pub:20445 | 
2026-08-13 20:24:04 UTC | FAIL | bore.pub:20445 | 
2026-08-13 21:22:42 UTC | FAIL | bore.pub:20445 | 
2026-08-13 22:12:19 UTC | FAIL | bore.pub:20445 | 
2026-08-13 23:05:13 UTC | FAIL | bore.pub:20445 | 
2026-08-14 00:00:30 UTC | FAIL | bore.pub:20445 | 
2026-08-14 02:37:54 UTC | FAIL | bore.pub:20445 | 
2026-08-14 04:29:20 UTC | FAIL | bore.pub:20445 | 
2026-08-14 06:02:40 UTC | FAIL | bore.pub:20445 | 
2026-08-14 07:51:51 UTC | FAIL | bore.pub:20445 | 
2026-08-14 09:10:21 UTC | FAIL | bore.pub:20445 | 
2026-08-14 10:17:26 UTC | FAIL | bore.pub:20445 | 
2026-08-14 12:09:54 UTC | FAIL | bore.pub:20445 | 
2026-08-14 13:44:59 UTC | WARN | bore.pub:20445 | 
2026-08-14 14:42:13 UTC | WARN | bore.pub:20445 | 
2026-08-14 15:36:24 UTC | WARN | bore.pub:20445 | 
2026-08-14 16:35:05 UTC | WARN | bore.pub:20445 | 
2026-08-14 17:39:57 UTC | WARN | bore.pub:20445 | 
2026-08-14 18:34:12 UTC | FAIL | bore.pub:20445 | 
2026-08-14 19:38:06 UTC | FAIL | bore.pub:20445 | 
2026-08-14 20:15:45 UTC | FAIL | bore.pub:20445 | 
2026-08-14 20:56:51 UTC | FAIL | bore.pub:20445 | 
2026-08-14 21:30:18 UTC | FAIL | bore.pub:20445 | 
2026-08-14 21:53:37 UTC | FAIL | bore.pub:20445 | 
2026-08-14 22:26:27 UTC | FAIL | bore.pub:20445 | 
2026-08-14 22:51:59 UTC | FAIL | bore.pub:20445 | 
2026-08-14 23:24:44 UTC | FAIL | bore.pub:20445 | 
2026-08-14 23:49:36 UTC | FAIL | bore.pub:20445 | 
2026-08-15 01:23:04 UTC | FAIL | bore.pub:20445 | 
2026-08-15 02:34:48 UTC | FAIL | bore.pub:20445 | 
2026-08-15 03:24:16 UTC | FAIL | bore.pub:20445 | 
2026-08-15 04:04:44 UTC | FAIL | bore.pub:20445 | 
2026-08-15 04:48:32 UTC | FAIL | bore.pub:20445 | AI err:The read operation timed out
2026-08-15 05:27:41 UTC | FAIL | bore.pub:20445 | 
2026-08-15 05:53:54 UTC | FAIL | bore.pub:20445 | 
2026-08-15 06:42:36 UTC | FAIL | bore.pub:20445 | 
2026-08-15 07:17:43 UTC | FAIL | bore.pub:20445 | 
2026-08-15 07:53:51 UTC | FAIL | bore.pub:20445 | 
2026-08-15 08:32:18 UTC | FAIL | bore.pub:20445 | 
2026-08-15 09:03:05 UTC | FAIL | bore.pub:20445 | 
2026-08-15 09:42:35 UTC | FAIL | bore.pub:20445 | 
2026-08-15 10:02:06 UTC | FAIL | bore.pub:20445 | 
2026-08-15 10:40:19 UTC | FAIL | bore.pub:20445 | 
2026-08-15 10:59:33 UTC | FAIL | bore.pub:20445 | 
2026-08-15 11:29:20 UTC | FAIL | bore.pub:20445 | 
2026-08-15 11:50:16 UTC | FAIL | bore.pub:20445 | 
2026-08-15 12:42:12 UTC | FAIL | bore.pub:20445 | 
2026-08-15 13:19:19 UTC | FAIL | bore.pub:20445 | 
2026-08-15 13:53:05 UTC | FAIL | bore.pub:20445 | 
2026-08-15 14:50:15 UTC | FAIL | bore.pub:20445 | 
2026-08-15 15:23:52 UTC | FAIL | bore.pub:20445 | 
2026-08-15 15:47:09 UTC | FAIL | bore.pub:20445 | 
2026-08-15 16:27:58 UTC | FAIL | bore.pub:20445 | 
2026-08-15 16:53:34 UTC | FAIL | bore.pub:20445 | 
2026-08-15 17:22:35 UTC | FAIL | bore.pub:20445 | 
2026-08-15 17:47:32 UTC | FAIL | bore.pub:20445 | 
2026-08-15 18:33:52 UTC | FAIL | bore.pub:20445 | 
2026-08-15 19:04:11 UTC | FAIL | bore.pub:20445 | 
2026-08-15 19:35:31 UTC | FAIL | bore.pub:20445 | 
2026-08-15 19:57:24 UTC | FAIL | bore.pub:20445 | 
2026-08-15 20:31:54 UTC | FAIL | bore.pub:20445 | 
2026-08-15 20:59:45 UTC | FAIL | bore.pub:20445 | 
2026-08-15 21:29:57 UTC | FAIL | bore.pub:20445 | 
2026-08-15 21:51:17 UTC | FAIL | bore.pub:20445 | 
2026-08-15 22:25:05 UTC | FAIL | bore.pub:20445 | 
2026-08-15 22:49:37 UTC | FAIL | bore.pub:20445 | 
2026-08-15 23:23:10 UTC | FAIL | bore.pub:20445 | 
2026-08-15 23:46:40 UTC | FAIL | bore.pub:20445 | 
2026-08-16 01:27:31 UTC | FAIL | bore.pub:20445 | 
2026-08-16 02:45:24 UTC | FAIL | bore.pub:20445 | 
2026-08-16 03:35:33 UTC | FAIL | bore.pub:20445 | 
2026-08-16 04:21:35 UTC | FAIL | bore.pub:20445 | 
2026-08-16 05:01:23 UTC | FAIL | bore.pub:20445 | 
2026-08-16 05:44:45 UTC | FAIL | bore.pub:20445 | 
2026-08-16 06:14:41 UTC | FAIL | bore.pub:20445 | 
2026-08-16 07:03:45 UTC | FAIL | bore.pub:20445 | 
2026-08-16 07:46:15 UTC | FAIL | bore.pub:20445 | 
2026-08-16 08:32:35 UTC | FAIL | bore.pub:20445 | 
2026-08-16 09:43:23 UTC | FAIL | bore.pub:20445 | 
2026-08-16 10:01:44 UTC | FAIL | bore.pub:20445 | 
